Mouse ID,Genotype,Gender,PNW,Days after tamoxifen injection,Sample_ID,Core_ID,Histotype,Cambium layer,Rhabdomyoblasts,Anaplasia,Necrosis,Trp53,Kras,Hras,Nras,Dicer1,Kras qPCR,Kras FISH
HDT300,Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+,M,65,422,HDT300_kidney_2_tumor,HDT300_19,SARC-like,yes,yes,no,no,wt,wt,wt,wt,Asp1693Asn,,n.a.
HDT318,Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+,F,78,517,HDT318_kidney_1_tumor,HDT318_49,SARC-like,yes,yes,no,no,Lys162Arg,wt,wt,wt,Asp1693Asn,,n.a.
HDT320,Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+,F,52,330,HDT320_kidney_2_tumor,HDT320_50,SARC-like,yes,no,no,yes,wt,wt,wt,wt,Asp1693Asn,,n.a.
HDT321,Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+,F,65,422,HDT321_kidney_1_tumor,HDT321_44,SARC-like,yes,no,no,no,wt,wt,wt,wt,Asp1693Asn,,n.a.
HDT325,Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+,F,48,305,HDT325_kidney_1_tumor,HDT325_31,SARC-like,yes,no,no,no,wt,wt,wt,wt,Asp1693Asn,,n.a.
HDT340,Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+,M,58,391,HDT340_kidney_1_tumor_a,HDT340_23,SARC-like,yes,yes,no,no,Arg172His,wt,wt,wt,Asp1693Asn,,n.a.
HDT344,Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+,F,66,444,HDT344_kidney_2_tumor,HDT344_51,SARC-like,yes,yes,no,no,wt,wt,wt,wt,Asp1693Asn,,n.a.
HDT359,Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+,M,47,314,HDT359_kidney_1_tumor,HDT359_53,SARC-like,no,no,yes,yes,wt,Gln61His,wt,wt,Asp1693Asn,,n.a.
HDT361,Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+,M,57,384,HDT361_kidney_1_tumor_a,HDT361_24,SARC-like,no,yes,yes,yes,Phe110Val,Gln61His,wt,wt,Asp1693Asn,,amplifcation
HDT365,Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+,F,49,316,HDT365_kidney_1_tumor,HDT365_25,SARC-like,no,no,yes,yes,wt,wt,wt,wt,Asp1693Asn,,n.a.
HDT365,Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+,F,49,316,HDT365_kidney_2_tumor,HDT365_33,SARC-like,no,no,yes,yes,wt,wt,wt,wt,Asp1693Asn,,n.a.
HDT366,Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+,F,69,455,HDT366_kidney_2_tumor,HDT366_29,SARC-like,yes,yes,no,no,wt,wt,wt,wt,Asp1693Asn,,n.a.
HDT368,Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+,M,56,367,HDT368_kidney_1_tumor,HDT368_54,SARC-like,yes,no,yes,yes,wt,wt,wt,wt,Asp1693Asn,,n.a.
HDT373,Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+,F,76,508,HDT373_kidney_1_tumor,HDT373_55,SARC-like,yes,yes,no,no,wt,wt,wt,wt,Asp1693Asn,,n.a.
HDT375,Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+,F,58,384,HDT375_kidney_1_tumor,HDT375_21,SARC-like,no,no,no,no,wt,wt,wt,wt,Asp1693Asn,,n.a.
HDT375,Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+,F,58,384,HDT375_kidney_2_tumor_a,HDT375_26,SARC-like,yes,no,no,no,wt,wt,wt,wt,Asp1693Asn,,n.a.
HDT395,Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+,F,46,292,HDT395_kidney_1_tumor,HDT395_56,SARC-like,yes,no,no,no,wt,Gly12Arg,wt,wt,Asp1693Asn,,n.a.
HDT543,Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+,M,31,204,HDT543_kidney_1_tumor,HDT543_59,SARC-like,yes,no,no,no,wt,wt,wt,wt,Asp1693Asn,,n.a.
HDT546,Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+,M,41,272,HDT546_kidney_1_tumor,HDT546_30,SARC-like,yes,yes,no,no,wt,wt,wt,wt,Asp1693Asn,,n.a.
HDT554,Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+,M,42,279,HDT554_kidney_1_tumor,HDT554_60,SARC-like,yes,yes,no,no,wt,wt,wt,wt,Asp1693Asn,,n.a.
HDT555,Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+,F,50,336,HDT555_kindey_1_tumor,HDT555_62,SARC-like,yes,yes,no,no,wt,wt,wt,wt,Asp1693Asn,,n.a.
HDT558,Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+,M,50,336,HDT558_kidney_1_tumor,HDT558_45,SARC-like,yes,no,no,no,wt,wt,wt,wt,Asp1693Asn,,n.a.
HDT563,Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+,M,36,238,HDT563_kidney_1_tumor,HDT563_22,SARC-like,yes,no,no,no,wt,wt,wt,wt,Asp1693Asn,,n.a.
HDT564,Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+,F,56,378,HDT564_kidney_1_tumor,HDT564_61,SARC-like,yes,no,no,no,wt,wt,wt,wt,Asp1693Asn,,n.a.
