"Mouse.ID","Genotype","Gender","PNW","Days.after.tamoxifen.injection","sample_id","core_id","Histotype","Cambium.layer","Rhabdomyoblasts","Anaplasia","Necrosis","Trp53","Kras","Hras","Nras","Dicer1","Kras.qPCR","Kras.FISH"
"HDT359","Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+","M","47","314","HDT359_kidney_1_tumor","HDT359_53","SARC-like","no","no","yes","yes","Wt","Missense","Wt","Wt","Missense",NA,"Unknown"
"HDT361","Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+","M","57","384","HDT361_kidney_1_tumor_a","HDT361_24","SARC-like","no","yes","yes","yes","Missense","Missense","Wt","Wt","Missense",NA,"Amplification"
"HDT365","Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+","F","49","316","HDT365_kidney_1_tumor","HDT365_25","SARC-like","no","no","yes","yes","Wt","Wt","Wt","Wt","Missense",NA,"Unknown"
"HDT365","Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+","F","49","316","HDT365_kidney_2_tumor","HDT365_33","SARC-like","no","no","yes","yes","Wt","Wt","Wt","Wt","Missense",NA,"Unknown"
"HDT366","Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+","F","69","455","HDT366_kidney_2_tumor","HDT366_29","SARC-like","yes","yes","no","no","Wt","Wt","Wt","Wt","Missense",NA,"Unknown"
"HDT368","Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+","M","56","367","HDT368_kidney_1_tumor","HDT368_54","SARC-like","yes","no","yes","yes","Wt","Wt","Wt","Wt","Missense",NA,"Unknown"
"HDT373","Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+","F","76","508","HDT373_kidney_1_tumor","HDT373_55","SARC-like","yes","yes","no","no","Wt","Wt","Wt","Wt","Missense",NA,"Unknown"
"HDT375","Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+","F","58","384","HDT375_kidney_1_tumor","HDT375_21","SARC-like","no","no","no","no","Wt","Wt","Wt","Wt","Missense",NA,"Unknown"
"HDT375","Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+","F","58","384","HDT375_kidney_2_tumor_a","HDT375_26","SARC-like","yes","no","no","no","Wt","Wt","Wt","Wt","Missense",NA,"Unknown"
"HDT395","Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+","F","46","292","HDT395_kidney_1_tumor","HDT395_56","SARC-like","yes","no","no","no","Wt","Missense","Wt","Wt","Missense",NA,"Unknown"
"HDT543","Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+","M","31","204","HDT543_kidney_1_tumor","HDT543_59","SARC-like","yes","no","no","no","Wt","Wt","Wt","Wt","Missense",NA,"Unknown"
"HDT546","Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+","M","41","272","HDT546_kidney_1_tumor","HDT546_30","SARC-like","yes","yes","no","no","Wt","Wt","Wt","Wt","Missense",NA,"Unknown"
"HDT554","Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+","M","42","279","HDT554_kidney_1_tumor","HDT554_60","SARC-like","yes","yes","no","no","Wt","Wt","Wt","Wt","Missense",NA,"Unknown"
"HDT555","Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+","F","50","336","HDT555_kindey_1_tumor","HDT555_62","SARC-like","yes","yes","no","no","Wt","Wt","Wt","Wt","Missense",NA,"Unknown"
"HDT558","Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+","M","50","336","HDT558_kidney_1_tumor","HDT558_45","SARC-like","yes","no","no","no","Wt","Wt","Wt","Wt","Missense",NA,"Unknown"
"HDT563","Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+","M","36","238","HDT563_kidney_1_tumor","HDT563_22","SARC-like","yes","no","no","no","Wt","Wt","Wt","Wt","Missense",NA,"Unknown"
"HDT564","Hic1-CreERT2+/+;Dicer1 fl/fl-D1693N;tdtomato fl/+","F","56","378","HDT564_kidney_1_tumor","HDT564_61","SARC-like","yes","no","no","no","Wt","Wt","Wt","Wt","Missense",NA,"Unknown"
