source_file	page_section	figure_table_panel_id	visible_result	inferred_analysis_type	required_inputs	expected_output_artifact	linked_method_code	reproduction_priority	notes
Main text	Fig 3	Fig 3b-d	Tumor cell type composition compared to normal MSC hierarchy; DotPlot of lineage markers; integrated control+tumor UMAP	Integrated scRNA-seq (control + tumor); cell type comparison	dicer1_scrna_filter_control.rds + dicer1_scrna_filter_tumor.rds	output/scrna/dicer1_scrna_filter_control_and_tumor.rds; output/plots/dicer1_scrna_filter_control_and_tumor_*.{png,svg}	dicer1_scrna_controls_and_tumors.R (patched)	HIGH	Completed; ~15 plots + 1 cluster markers table
Main text	Fig 3	Fig 3e-h	Xenium spatial analysis of HDT tumor MSC niches; MUT tumor cell type UMAP; lineage gene FeaturePlots; VlnPlot	Xenium spatial clustering (SCTransform + UMAP on 133K MUT cells; requires WT pass first)	GSE289001 Xenium RDS (downloaded)	output/xenium/dicer1_xenium_mut.rds; Xenium tumor spatial plots	dicer1_xenium_proseg_mus_musculus.R (v3 patched)	HIGH	BLOCKED — same OOM constraint as WT pass; patched script ready for ≥32 GB RAM system
Main text	Supp Fig 8	Supp Fig 8	Additional Xenium panels (spatial gene expression, clustering detail)	Xenium spatial — extended panels	Same as Fig 3e-h	Xenium spatial plots	dicer1_xenium_proseg_mus_musculus.R (v3 patched)	MEDIUM	BLOCKED — same hardware constraint as Fig 2e-h / Fig 3e-h
Main text	Fig 4	Fig 4a	Bulk RNA-seq DESeq2 comparison of primary mesenchymal cells (HDT1056 + HDT1119; DMEM vs MesEnCult conditions)	Bulk RNA-seq: tximport → DESeq2 → PCA, volcano	GSE309820 Salmon quant.sf (12 samples) + tx2gene	output/plots/dicer1_bulk_rna_pca.{png,svg}; output/tables/dicer1_rna_*_de_mut_vs_wt.csv	dicer1_rna.R (patched)	HIGH	Completed; PCA, 2 volcano plots, 12 GSEA plots, 5 DE tables
Main text	Fig 4	Fig 4b-c	Pseudotime trajectory inference: 6 lineages from Dpt+ universal fibroblast cell of origin	Monocle3 pseudotime trajectory	dicer1_scrna_filter_tumor.rds	output/scrna/dicer1_scrna_trajectory_cds.rds; output/plots/dicer1_scrna_filter_tumor_trajectory_*.{png,svg}	dicer1_scrna_trajectory.R (patched)	HIGH	Completed; root node approximated from Progen centroid (paper sets root interactively); branch trajectory plots skipped (require interactive choose_graph_segments); pseudotime + gene-expression-along-trajectory plots generated
Main text	Fig 4	Fig 4d	Marker gene expression along trajectory branches (Dpt, Pi16, Mfap4 specificity)	Gene-pseudotime correlation / FeaturePlot along trajectory	dicer1_scrna_trajectory_cds.rds or dicer1_scrna_filter_tumor.rds	output/plots/dicer1_scrna_filter_tumor_trajectory_*genes*.png	dicer1_scrna_trajectory.R (patched)	HIGH	Completed; ground and myodifferentiated gene panels generated
Main text	Fig 4	Fig 4e + Supp Fig 9c-d	InferCNV genome-wide CNV heatmap; HMM CNV predictions; Progen cells show gains in chr 1 and 6	InferCNV HMM-based CNV calling	dicer1_scrna_filter_combined_counts.matrix + gene_order.tsv	output/infer_cnv/combined_filter/infercnv.png; infercnv.17_HMM_pred...png; infercnv.19_HMM_pred...png; infercnv.20_HMM_pred...png; run.final.infercnv_obj	dicer1_scrna_run_infer_cnv_v2_patched.R	HIGH	COMPLETED July 2026; random_trees subclustering (Seurat v5 leiden fix); gene_order.tsv from Ensembl REST API (biomaRt failed); all 22 HMM steps completed
Main text	Fig 4	Fig 4e + Supp Fig 9	CNV feature plots overlaid on tumor scRNA-seq UMAP; CNV proportion per chromosome per cell type	InferCNV + Seurat integration (add_to_seurat step)	output/infer_cnv/combined_filter/run.final.infercnv_obj	output/infer_cnv/dicer1_scrna_filter_tumor_infercnv.{png,svg}; dicer1_scrna_filter_tumor_infercnv_split_sample.{png,svg}; dicer1_scrna_filter_combined_infercnv_metadata.rds	dicer1_scrna_add_to_seurat_intermediate.R + dicer1_scrna_add_infer_cnv_seurat.R	HIGH	COMPLETED July 2026; add_to_seurat() step was absent from author inferCNV script; intermediate script created; FeaturePlot S7 fallback applied
Main text	Fig 4	Fig 4g-h	PROGENy/decoupleR pathway activity heatmap by tumor cell type; MAPK signaling UMAP	decoupleR MLM pathway activity scoring + FeaturePlot	dicer1_scrna_filter_tumor.rds + PROGENy annotations (OmniPath REST)	output/plots/dicer1_scrna_filter_tumor_pathway_heatmap.{png,svg}; pathway_tgfb.{png,svg}; pathway_tnfa.{png,svg}; pathway_nfkb.{png,svg}; pathway_cluster_tgfb.{png,svg}	dicer1_scrna_run_pathway_analysis.R (v4 patched)	HIGH	Completed; OmnipathR bypassed (REST API download); Seurat v5 Assay5 data layer fix; FeaturePlot S7 fix; 3 pathway UMAPs generated (TGFb, TNFa, NFkB); VEGF and EGFR UMAPs were NOT in the patched script (paper figure may show more pathway UMAPs)
Main text	Fig 5	Fig 5a-d	Human DRTP sarcoma Xenium spatial analysis; comparison with mouse murine cell states; PDGFRA+/DPT+ progenitor population in human	Xenium spatial clustering (human DRTP samples; n=16 patients)	Human Xenium RDS (not deposited on GEO)	Human Xenium spatial plots	dicer1_xenium_proseg_homo_sapiens.R	LOW	BLOCKED — human Xenium RDS not deposited on GEO; may be under embargo or available on request; paper has no Fig 6 or Fig 7
Supplementary	Supp Fig 1	Supp Fig 1a-j	Extended mouse model characterization (sex stratification, histology detail, genotyping, timing effects)	Histopathology + cohort statistics	Mouse metadata + histology (non-computational)	Histology images + KM plots	dicer1_swgs.R (partial)	LOW	Mostly non-computational; metadata plots partially reproduced via dicer1_swgs_metadata_only_patched.R
Supplementary	Supp Fig 3-7	Supp Fig 3-7	Extended scRNA-seq panels (QC doublet scores, additional cell type markers, batch effects, control subsets, tumor sub-populations)	scRNA-seq QC + clustering extended panels	sce_qc.rds, filter_control.rds, filter_tumor.rds	output/plots/dicer1_scrna_*qc*, unfilter_* and filter_* plot variants	dicer1_scrna_qc.R; dicer1_scrna_controls.R; dicer1_scrna_tumors.R; dicer1_scrna_controls_and_tumors.R	MEDIUM	Completed (all QC and extended plots generated)
Supplementary	Supp Fig 9	Supp Fig 9c-d	InferCNV HMM heatmaps (intermediate + final posterior)	InferCNV internal heatmap outputs	output/infer_cnv/combined_filter/ (run output)	output/infer_cnv/combined_filter/infercnv.png; infercnv.preliminary.png; infercnv.17_HMM_pred...png; infercnv.19_HMM_pred...png; infercnv.20_HMM_pred...png	dicer1_scrna_run_infer_cnv_v2_patched.R	HIGH	COMPLETED July 2026
Supplementary	Supp Fig 10	Supp Fig 10	Human Xenium spatial analysis extended panels (13 Louvain clusters; fibroblast lineage; cell type detail)	Xenium spatial clustering (human)	Human Xenium RDS (not deposited)	Human Xenium extended plots	dicer1_xenium_proseg_homo_sapiens.R	LOW	BLOCKED — same data constraint as Fig 5
Supplementary	Supp Tables	Supp Table 1	Sample metadata and clinical annotations	Metadata table	metadata/dicer1_scrna_sample_metadata.csv	output/tables/dicer1_swgs_sample_metadata.csv	repository	LOW	Available in repo; reproduced via swgs_metadata script
Supplementary	Supp Tables	Supp Table 2	DEG tables per cell type (FindAllMarkers output)	FindAllMarkers scRNA-seq	filter_tumor.rds	output/tables/dicer1_scrna_filter_tumor_cluster_markers_table.csv; dicer1_scrna_filter_tumor_batch_markers_table.csv	dicer1_scrna_tumors.R; dicer1_scrna_tumors_filter_only_patched.R	MEDIUM	Completed
