chr	start	stop
ENSMUSG00000026043	chr1	45350698	45395840
ENSMUSG00000026042	chr1	45412554	45542442
ENSMUSG00000025995	chr1	45834315	45862810
ENSMUSG00000025993	chr1	45947211	45965683
ENSMUSG00000025986	chr1	46845872	46964964
ENSMUSG00000026109	chr1	50939803	51227332
ENSMUSG00000026107	chr1	51505021	51517584
ENSMUSG00000018417	chr1	51788913	51955230
ENSMUSG00000026104	chr1	52158137	52201024
ENSMUSG00000026103	chr1	52202607	52272409
ENSMUSG00000026102	chr1	52823863	52884045
ENSMUSG00000026098	chr1	53227800	53336482
ENSMUSG00000026097	chr1	53336228	53349477
ENSMUSG00000026096	chr1	53352564	53365760
ENSMUSG00000026095	chr1	53383776	53391911
ENSMUSG00000026094	chr1	53792831	53824400
ENSMUSG00000052331	chr1	54684499	54965574
ENSMUSG00000025982	chr1	55024318	55066673
ENSMUSG00000025981	chr1	55091923	55115640
ENSMUSG00000025980	chr1	55116989	55171038
ENSMUSG00000025979	chr1	55170062	55201337
ENSMUSG00000025978	chr1	55204315	55267260
ENSMUSG00000025971	chr1	57445310	57457112
ENSMUSG00000054770	chr1	57994260	58058115
ENSMUSG00000026039	chr1	58024388	58065442
ENSMUSG00000026034	chr1	58449348	58463234
ENSMUSG00000026035	chr1	58468332	58488732
ENSMUSG00000026036	chr1	58484310	58520979
ENSMUSG00000026037	chr1	58497840	58544270
ENSMUSG00000026032	chr1	58625541	58636536
ENSMUSG00000026031	chr1	58750321	58798047
ENSMUSG00000026029	chr1	58834375	58886665
ENSMUSG00000026028	chr1	58939607	59013546
ENSMUSG00000026027	chr1	59012672	59035665
ENSMUSG00000026024	chr1	59202085	59277077
ENSMUSG00000026021	chr1	59625714	59710008
ENSMUSG00000026020	chr1	59724106	59758203
ENSMUSG00000026019	chr1	60108944	60137926
ENSMUSG00000026017	chr1	60137370	60193112
ENSMUSG00000026014	chr1	60434868	60606263
ENSMUSG00000026782	chr1	60448647	60520827
ENSMUSG00000026011	chr1	60926159	60954991
ENSMUSG00000025969	chr1	62742444	62857854
ENSMUSG00000025968	chr1	63182058	63216236
ENSMUSG00000025967	chr1	63215940	63219645
ENSMUSG00000025964	chr1	63484875	63635436
ENSMUSG00000025962	chr1	63769322	63794016
ENSMUSG00000025959	chr1	64068606	64161508
ENSMUSG00000025958	chr1	64571731	64643707
ENSMUSG00000025950	chr1	65196781	65225721
ENSMUSG00000025949	chr1	65225808	65317854
ENSMUSG00000026005	chr1	66739945	66765663
ENSMUSG00000026004	chr1	66758396	66856764
ENSMUSG00000026003	chr1	66868267	66902633
ENSMUSG00000026000	chr1	67039670	67078483
ENSMUSG00000025997	chr1	69570373	69727004
ENSMUSG00000026192	chr1	71596294	71619241
ENSMUSG00000026193	chr1	71624673	71692419
ENSMUSG00000026189	chr1	72297846	72323481
ENSMUSG00000026188	chr1	72323511	72342560
ENSMUSG00000026187	chr1	72346532	72434112
ENSMUSG00000026185	chr1	72897091	72914043
ENSMUSG00000055322	chr1	73949390	74163731
ENSMUSG00000026179	chr1	74323648	74392853
ENSMUSG00000026177	chr1	74414303	74425448
ENSMUSG00000026176	chr1	74430550	74436444
ENSMUSG00000026175	chr1	74448535	74475933
ENSMUSG00000033364	chr1	74474669	74583443
ENSMUSG00000026174	chr1	74545183	74570004
ENSMUSG00000026135	chr1	74599345	74627414
ENSMUSG00000026172	chr1	74626561	74638394
ENSMUSG00000026171	chr1	74629094	74640561
ENSMUSG00000033257	chr1	74700793	74743045
ENSMUSG00000026170	chr1	74752314	74777056
ENSMUSG00000026162	chr1	75004985	75101899
ENSMUSG00000033159	chr1	75111192	75119765
ENSMUSG00000026197	chr1	75145290	75148273
ENSMUSG00000026198	chr1	75148267	75157051
ENSMUSG00000033124	chr1	75157503	75169327
ENSMUSG00000026199	chr1	75168404	75176051
ENSMUSG00000026200	chr1	75173622	75187457
ENSMUSG00000026201	chr1	75185477	75192258
ENSMUSG00000026202	chr1	75189219	75196566
ENSMUSG00000026203	chr1	75212712	75222340
ENSMUSG00000026209	chr1	75284432	75294634
ENSMUSG00000026208	chr1	75320511	75345223
ENSMUSG00000026207	chr1	75351777	75408964
ENSMUSG00000033021	chr1	75412246	75419984
ENSMUSG00000032997	chr1	75451206	75455951
ENSMUSG00000026211	chr1	75455954	75483294
ENSMUSG00000026235	chr1	77343822	77492816
ENSMUSG00000026245	chr1	78392766	78465534
ENSMUSG00000012187	chr1	78487628	78514810
ENSMUSG00000032883	chr1	78635537	78685461
ENSMUSG00000026248	chr1	79753735	79759168
ENSMUSG00000026249	chr1	79763323	79839144
ENSMUSG00000055980	chr1	82210822	82269338
ENSMUSG00000026142	chr1	82294173	82423782
ENSMUSG00000026150	chr1	82702582	82730684
ENSMUSG00000026159	chr1	82816740	82878903
ENSMUSG00000026219	chr1	84698521	84837407
ENSMUSG00000026220	chr1	84873223	84912970
ENSMUSG00000026222	chr1	85577709	85637719
ENSMUSG00000026223	chr1	85821825	85836428
ENSMUSG00000026229	chr1	85992097	86070048
ENSMUSG00000026234	chr1	86272441	86287208
ENSMUSG00000026238	chr1	86454098	86458434
ENSMUSG00000026239	chr1	86470636	86510524
ENSMUSG00000026240	chr1	86510616	86537097
ENSMUSG00000053333	chr1	86631289	86977819
ENSMUSG00000026254	chr1	87141621	87168210
ENSMUSG00000026255	chr1	87192031	87238565
ENSMUSG00000026259	chr1	87404515	87501656
ENSMUSG00000026288	chr1	87547989	87648230
ENSMUSG00000026289	chr1	87683592	87720150
ENSMUSG00000026295	chr1	88319600	88354160
ENSMUSG00000055013	chr1	89382425	89838077
ENSMUSG00000034432	chr1	90530703	90541138
ENSMUSG00000026304	chr1	90885855	90897383
ENSMUSG00000026305	chr1	90926445	91058477
ENSMUSG00000034353	chr1	91107540	91152918
ENSMUSG00000034343	chr1	91176217	91225284
ENSMUSG00000026307	chr1	91226055	91248803
ENSMUSG00000026309	chr1	91301568	91326637
ENSMUSG00000055866	chr1	91343700	91387069
ENSMUSG00000034292	chr1	91422319	91459863
ENSMUSG00000026313	chr1	91855937	92123421
ENSMUSG00000026260	chr1	92361375	92401613
ENSMUSG00000034220	chr1	92759062	92792113
ENSMUSG00000026269	chr1	92838270	92852111
ENSMUSG00000026270	chr1	92862093	92881692
ENSMUSG00000026273	chr1	93156137	93233637
ENSMUSG00000026275	chr1	93270576	93301211
ENSMUSG00000034088	chr1	93333653	93406600
ENSMUSG00000026276	chr1	93373043	93437986
ENSMUSG00000034066	chr1	93439801	93549698
ENSMUSG00000026277	chr1	93547471	93586381
ENSMUSG00000026278	chr1	93613193	93623498
ENSMUSG00000026279	chr1	93629657	93682611
ENSMUSG00000026280	chr1	93679222	93718332
ENSMUSG00000026281	chr1	93718799	93729710
ENSMUSG00000026283	chr1	93731626	93749834
ENSMUSG00000026333	chr1	97697527	97721436
ENSMUSG00000026335	chr1	97722839	98023399
ENSMUSG00000056536	chr1	105446146	105591425
ENSMUSG00000026319	chr1	105591554	105682932
ENSMUSG00000026321	chr1	105708358	105777170
ENSMUSG00000009905	chr1	106648072	106687553
ENSMUSG00000009907	chr1	106691785	106724458
ENSMUSG00000026315	chr1	107517700	107539280
ENSMUSG00000026374	chr1	118222508	118239469
ENSMUSG00000026377	chr1	118249564	118261561
ENSMUSG00000026380	chr1	118555636	118612915
ENSMUSG00000098923	chr1	119453890	119456713
ENSMUSG00000026383	chr1	119472753	119576730
ENSMUSG00000026384	chr1	119580197	119765343
ENSMUSG00000026385	chr1	120041010	120048808
ENSMUSG00000026389	chr1	120118487	120200435
ENSMUSG00000026339	chr1	121358750	121435091
ENSMUSG00000026341	chr1	125320633	125363637
ENSMUSG00000026342	chr1	125488332	125523573
ENSMUSG00000026343	chr1	125604623	125801599
ENSMUSG00000026348	chr1	127657143	127695715
ENSMUSG00000026349	chr1	127701901	127735798
ENSMUSG00000056211	chr1	128031006	128165476
ENSMUSG00000026353	chr1	128171701	128207121
ENSMUSG00000026355	chr1	128259311	128287516
ENSMUSG00000026356	chr1	128289511	128345161
ENSMUSG00000026399	chr1	130366469	130390926
ENSMUSG00000026409	chr1	130616779	130656990
ENSMUSG00000026417	chr1	130754397	130779986
ENSMUSG00000016528	chr1	130981423	131025593
ENSMUSG00000026427	chr1	131080893	131115395
ENSMUSG00000026425	chr1	131212989	131455275
ENSMUSG00000052688	chr1	131616433	131643180
ENSMUSG00000013275	chr1	131755231	131776603
ENSMUSG00000026434	chr1	131838118	131865058
ENSMUSG00000026435	chr1	131890666	131910707
ENSMUSG00000026436	chr1	131935116	131960350
ENSMUSG00000026437	chr1	132039975	132072144
ENSMUSG00000009772	chr1	132243853	132261226
ENSMUSG00000026439	chr1	132399337	132433427
ENSMUSG00000054387	chr1	132887222	132958299
ENSMUSG00000026463	chr1	133627195	133728923
ENSMUSG00000026459	chr1	134217707	134220287
ENSMUSG00000026458	chr1	134223169	134260666
ENSMUSG00000026456	chr1	134333297	134339478
ENSMUSG00000026457	chr1	134343077	134361092
ENSMUSG00000026455	chr1	134382652	134418756
ENSMUSG00000026426	chr1	135074328	135084015
ENSMUSG00000009418	chr1	135362318	135616086
ENSMUSG00000026421	chr1	135647492	135679976
ENSMUSG00000026418	chr1	135707172	135738727
ENSMUSG00000026414	chr1	135763738	135780315
ENSMUSG00000026411	chr1	135935888	135966299
ENSMUSG00000026395	chr1	137990599	138103446
ENSMUSG00000026394	chr1	138201461	138217200
ENSMUSG00000026393	chr1	138410613	138550306
ENSMUSG00000056268	chr1	138891016	139106698
ENSMUSG00000033964	chr1	139349911	139380915
ENSMUSG00000033952	chr1	139382486	139421829
ENSMUSG00000026368	chr1	139429407	139451502
ENSMUSG00000026365	chr1	139969496	140111502
ENSMUSG00000052726	chr1	140173436	140541709
ENSMUSG00000026361	chr1	143474538	143578631
ENSMUSG00000018196	chr1	143592076	143626588
ENSMUSG00000018199	chr1	143626528	143652808
ENSMUSG00000018189	chr1	143652945	143683635
ENSMUSG00000026360	chr1	143875076	143879899
ENSMUSG00000026358	chr1	144118034	144124980
ENSMUSG00000056220	chr1	149705369	149837053
ENSMUSG00000032487	chr1	149975194	149983978
ENSMUSG00000100954	chr1	151173854	151220982
ENSMUSG00000052748	chr1	151243427	151304252
ENSMUSG00000053286	chr1	151304293	151333933
ENSMUSG00000026484	chr1	151333755	151376729
ENSMUSG00000026483	chr1	151446230	151597690
ENSMUSG00000032666	chr1	151728033	151966904
ENSMUSG00000014980	chr1	152206923	152262533
ENSMUSG00000026482	chr1	152392511	152642118
ENSMUSG00000008475	chr1	152642292	152651348
ENSMUSG00000026480	chr1	152675945	152712742
ENSMUSG00000100394	chr1	152754271	152756049
ENSMUSG00000026478	chr1	153094597	153208774
ENSMUSG00000026475	chr1	153616091	153621228
ENSMUSG00000026473	chr1	153775690	153785469
ENSMUSG00000056708	chr1	154972107	154975382
ENSMUSG00000026470	chr1	155034417	155084002
ENSMUSG00000033722	chr1	155088217	155120771
ENSMUSG00000026469	chr1	155151407	155293181
ENSMUSG00000033701	chr1	155433779	155567076
ENSMUSG00000033684	chr1	155651775	155688802
ENSMUSG00000033671	chr1	155720710	155849001
ENSMUSG00000026466	chr1	155880041	155912440
ENSMUSG00000015484	chr1	155951046	156033386
ENSMUSG00000026602	chr1	156138287	156155605
ENSMUSG00000026600	chr1	156252095	156303864
ENSMUSG00000026596	chr1	156386330	156491178
ENSMUSG00000033557	chr1	156506102	156547267
ENSMUSG00000026594	chr1	156631736	156767610
ENSMUSG00000033544	chr1	156666132	156688648
ENSMUSG00000033488	chr1	157286098	157320214
ENSMUSG00000014226	chr1	160029173	160040459
ENSMUSG00000026721	chr1	160046744	160620781
ENSMUSG00000053332	chr1	160861793	160866118
ENSMUSG00000026709	chr1	160865537	160898469
ENSMUSG00000026708	chr1	160898283	160914294
ENSMUSG00000026705	chr1	160915945	160959081
ENSMUSG00000026701	chr1	161051417	161079098
ENSMUSG00000026698	chr1	161796749	161803048
ENSMUSG00000026696	chr1	162398084	162426653
ENSMUSG00000026692	chr1	162620757	162641541
ENSMUSG00000026586	chr1	163041844	163142033
ENSMUSG00000026585	chr1	163607152	163747943
ENSMUSG00000026584	chr1	163756520	163784403
ENSMUSG00000026578	chr1	164103107	164116110
ENSMUSG00000026577	chr1	164117368	164135072
ENSMUSG00000026575	chr1	164131690	164265297
ENSMUSG00000026576	chr1	164264678	164285957
ENSMUSG00000026574	chr1	164624187	164654544
ENSMUSG00000026571	chr1	165156267	165288556
ENSMUSG00000026568	chr1	165287125	165308785
ENSMUSG00000026566	chr1	165419752	165462141
ENSMUSG00000026565	chr1	165692723	165830247
ENSMUSG00000026563	chr1	166206666	166221208
ENSMUSG00000026558	chr1	167050452	167112889
ENSMUSG00000052428	chr1	167135934	167161547
ENSMUSG00000026687	chr1	167177536	167196101
ENSMUSG00000026688	chr1	167196550	167221687
ENSMUSG00000052534	chr1	167946933	168259839
ENSMUSG00000026678	chr1	169483036	169524887
ENSMUSG00000026675	chr1	169777093	169796813
ENSMUSG00000097503	chr1	169796915	169800517
ENSMUSG00000026674	chr1	169799876	169938331
ENSMUSG00000026670	chr1	169967484	170002556
ENSMUSG00000026667	chr1	170020989	170042989
ENSMUSG00000026663	chr1	170532026	170696208
ENSMUSG00000053925	chr1	170694982	170768691
ENSMUSG00000026659	chr1	170699688	170713109
ENSMUSG00000026656	chr1	170786186	170804177
ENSMUSG00000013593	chr1	171062422	171078957
ENSMUSG00000052423	chr1	171097872	171104480
ENSMUSG00000053483	chr1	171109519	171115927
ENSMUSG00000013973	chr1	171156293	171172442
ENSMUSG00000013997	chr1	171165576	171173249
ENSMUSG00000026641	chr1	171238847	171247913
ENSMUSG00000015355	chr1	171509573	171532826
ENSMUSG00000026556	chr1	171828527	171856011
ENSMUSG00000026553	chr1	171910077	171949900
ENSMUSG00000026554	chr1	171975571	172024893
ENSMUSG00000013698	chr1	172020640	172035334
ENSMUSG00000007097	chr1	172099276	172126037
ENSMUSG00000026548	chr1	172297192	172307889
ENSMUSG00000026547	chr1	172327426	172334947
ENSMUSG00000026544	chr1	172458331	172460529
ENSMUSG00000026536	chr1	173723911	173740612
ENSMUSG00000026526	chr1	175425290	175453205
ENSMUSG00000026504	chr1	176642226	176848005
ENSMUSG00000015962	chr1	177555689	177580890
ENSMUSG00000015961	chr1	177590528	177624398
ENSMUSG00000026502	chr1	178014983	178084867
ENSMUSG00000026500	chr1	178145801	178153774
ENSMUSG00000026495	chr1	178233199	178312286
ENSMUSG00000026494	chr1	178356690	178766765
ENSMUSG00000055067	chr1	178779131	179345610
ENSMUSG00000026492	chr1	179355610	179374548
ENSMUSG00000026491	chr1	179572459	179631397
ENSMUSG00000026490	chr1	179787112	179993170
ENSMUSG00000026489	chr1	179992803	180029294
ENSMUSG00000010609	chr1	180054569	180091003
ENSMUSG00000026496	chr1	180396443	180431307
ENSMUSG00000026499	chr1	180553571	180583653
ENSMUSG00000026520	chr1	180731834	180736066
ENSMUSG00000026519	chr1	180769879	180804358
ENSMUSG00000026516	chr1	180914703	180971782
ENSMUSG00000022995	chr1	181723949	181847856
ENSMUSG00000026511	chr1	181952302	181960690
ENSMUSG00000026510	chr1	182236697	182289997
ENSMUSG00000026509	chr1	182294819	182345339
ENSMUSG00000056050	chr1	183103389	183151096
ENSMUSG00000026620	chr1	184628605	184732334
ENSMUSG00000026618	chr1	185016803	185061612
ENSMUSG00000026617	chr1	185060905	185091311
ENSMUSG00000026615	chr1	185095101	185161840
ENSMUSG00000026610	chr1	187340988	187947082
ENSMUSG00000026608	chr1	188703292	188740100
ENSMUSG00000026605	chr1	189372752	189420315
ENSMUSG00000026604	chr1	189460446	189608892
ENSMUSG00000026603	chr1	189612683	189655081
ENSMUSG00000026634	chr1	190657309	190679174
ENSMUSG00000026632	chr1	190776648	190795140
ENSMUSG00000026628	chr1	190902493	190950241
ENSMUSG00000026627	chr1	191058089	191085120
ENSMUSG00000026626	chr1	191084168	191135469
ENSMUSG00000026623	chr1	191449946	191516367
ENSMUSG00000026637	chr1	191725516	191776911
ENSMUSG00000016262	chr1	192524569	192538399
ENSMUSG00000016200	chr1	192567989	192718156
ENSMUSG00000016181	chr1	192773412	192812619
ENSMUSG00000016194	chr1	192903918	192946489
ENSMUSG00000009633	chr1	192949563	192956177
ENSMUSG00000026640	chr1	194300526	194499177
ENSMUSG00000016494	chr1	194621029	194647172
ENSMUSG00000016493	chr1	194719134	194774561
ENSMUSG00000016481	chr1	194777603	194813894
ENSMUSG00000026643	chr2	3285225	3329915
ENSMUSG00000026648	chr2	3425164	3465167
ENSMUSG00000026655	chr2	3571525	3783179
ENSMUSG00000026657	chr2	4022528	4618854
ENSMUSG00000026662	chr2	4886089	4915373
ENSMUSG00000026664	chr2	4923653	4950446
ENSMUSG00000026672	chr2	5022703	5068945
ENSMUSG00000026676	chr2	5142401	5241887
ENSMUSG00000025817	chr2	5849812	5878029
ENSMUSG00000025816	chr2	5874426	5900243
ENSMUSG00000025815	chr2	5900926	5947615
ENSMUSG00000015619	chr2	9861889	9894845
ENSMUSG00000025782	chr2	9919363	10053434
ENSMUSG00000025781	chr2	10060827	10085350
ENSMUSG00000025780	chr2	10158281	10261340
ENSMUSG00000026773	chr2	11476244	11558888
ENSMUSG00000026768	chr2	12110900	12307214
ENSMUSG00000026767	chr2	12352061	12424300
ENSMUSG00000026730	chr2	12928814	13008266
ENSMUSG00000026727	chr2	13081632	13276295
ENSMUSG00000026726	chr2	13281149	13496624
ENSMUSG00000026728	chr2	13578738	13587639
ENSMUSG00000026718	chr2	14078890	14154466
ENSMUSG00000026712	chr2	14234151	14336926
ENSMUSG00000026707	chr2	14995021	15059880
ENSMUSG00000017418	chr2	15054206	15087267
ENSMUSG00000026748	chr2	16359634	16763259
ENSMUSG00000053702	chr2	17347467	17736275
ENSMUSG00000026743	chr2	18059984	18217205
ENSMUSG00000026740	chr2	18200465	18397661
ENSMUSG00000026739	chr2	18681292	18691441
ENSMUSG00000026737	chr2	18847065	19003140
ENSMUSG00000026786	chr2	22664106	22765665
ENSMUSG00000026784	chr2	22785492	22830278
ENSMUSG00000026781	chr2	22958179	23005574
ENSMUSG00000026775	chr2	23046034	23089281
ENSMUSG00000026771	chr2	23396232	23462138
ENSMUSG00000026976	chr2	24309418	24365617
ENSMUSG00000026972	chr2	24815286	24825338
ENSMUSG00000026974	chr2	24839795	24852087
ENSMUSG00000006476	chr2	24944350	24954666
ENSMUSG00000013465	chr2	25089716	25101501
ENSMUSG00000006469	chr2	25118910	25124376
ENSMUSG00000006471	chr2	25134825	25146071
ENSMUSG00000026966	chr2	25161042	25162450
ENSMUSG00000026965	chr2	25162475	25175928
ENSMUSG00000026958	chr2	25242288	25246391
ENSMUSG00000026956	chr2	25249901	25255733
ENSMUSG00000015085	chr2	25285691	25291424
ENSMUSG00000015094	chr2	25289363	25301185
ENSMUSG00000015095	chr2	25390736	25395890
ENSMUSG00000026942	chr2	25406097	25436987
ENSMUSG00000015092	chr2	25447852	25464531
ENSMUSG00000015087	chr2	25473024	25498533
ENSMUSG00000026939	chr2	25509753	25512056
ENSMUSG00000026933	chr2	25816850	25873322
ENSMUSG00000026932	chr2	25945546	26022997
ENSMUSG00000026930	chr2	26205457	26238265
ENSMUSG00000026927	chr2	26271736	26279508
ENSMUSG00000026926	chr2	26279109	26292979
ENSMUSG00000026924	chr2	26299443	26335899
ENSMUSG00000026923	chr2	26347915	26406675
ENSMUSG00000026921	chr2	26468286	26486789
ENSMUSG00000026922	chr2	26483061	26494637
ENSMUSG00000015776	chr2	26795273	26801227
ENSMUSG00000015790	chr2	26803389	26807966
ENSMUSG00000014873	chr2	26805963	26813534
ENSMUSG00000014867	chr2	26807611	26823940
ENSMUSG00000052406	chr2	26843571	26854583
ENSMUSG00000015488	chr2	26899938	26911107
ENSMUSG00000009614	chr2	27078405	27143451
ENSMUSG00000009621	chr2	27152107	27317156
ENSMUSG00000026918	chr2	27335587	27397674
ENSMUSG00000026917	chr2	27405161	27426560
ENSMUSG00000015846	chr2	27566452	27653330
ENSMUSG00000026837	chr2	27776397	27929526
ENSMUSG00000026833	chr2	28083004	28120748
ENSMUSG00000026821	chr2	28403091	28443100
ENSMUSG00000026816	chr2	28456310	28473763
ENSMUSG00000026812	chr2	28531061	28581179
ENSMUSG00000026806	chr2	28730387	28797729
ENSMUSG00000026803	chr2	28950252	28977668
ENSMUSG00000026799	chr2	29236824	29414805
ENSMUSG00000026798	chr2	29677505	29687947
ENSMUSG00000026790	chr2	29778780	29822068
ENSMUSG00000054766	chr2	29947390	29962594
ENSMUSG00000015335	chr2	29980799	29983935
ENSMUSG00000015337	chr2	30061504	30064081
ENSMUSG00000007476	chr2	30126944	30153827
ENSMUSG00000052533	chr2	30176389	30234792
ENSMUSG00000026860	chr2	30231436	30249380
ENSMUSG00000026858	chr2	30254219	30277427
ENSMUSG00000026853	chr2	30289300	30306340
ENSMUSG00000026857	chr2	30697681	30724514
ENSMUSG00000026848	chr2	30842961	30854386
ENSMUSG00000026849	chr2	30845028	30857945
ENSMUSG00000026851	chr2	30860510	30872236
ENSMUSG00000026854	chr2	30871967	30913598
ENSMUSG00000026843	chr2	31462651	31507541
ENSMUSG00000026842	chr2	31578333	31697112
ENSMUSG00000026825	chr2	32197854	32243376
ENSMUSG00000026820	chr2	32285659	32295786
ENSMUSG00000026819	chr2	32303547	32341482
ENSMUSG00000026810	chr2	32460841	32463834
ENSMUSG00000026811	chr2	32489721	32510825
ENSMUSG00000026817	chr2	32511448	32528933
ENSMUSG00000026814	chr2	32535543	32574661
ENSMUSG00000009566	chr2	32572621	32594157
ENSMUSG00000009555	chr2	32595794	32603589
ENSMUSG00000009563	chr2	32647210	32654245
ENSMUSG00000026797	chr2	32677484	32737300
ENSMUSG00000026796	chr2	32766126	32815266
ENSMUSG00000026791	chr2	32861636	32872231
ENSMUSG00000026788	chr2	33340299	33358632
ENSMUSG00000026867	chr2	34564606	34645264
ENSMUSG00000026864	chr2	34661982	34668880
ENSMUSG00000026869	chr2	34739746	34764980
ENSMUSG00000026870	chr2	34764379	34782157
ENSMUSG00000026875	chr2	34831762	34851837
ENSMUSG00000026878	chr2	35068752	35091220
ENSMUSG00000026879	chr2	35145967	35197917
ENSMUSG00000026880	chr2	35203996	35227072
ENSMUSG00000026883	chr2	35448278	35621006
ENSMUSG00000026895	chr2	35917572	35939425
ENSMUSG00000026889	chr2	36006086	36026857
ENSMUSG00000026887	chr2	36026397	36080661
ENSMUSG00000009030	chr2	37240012	37249344
ENSMUSG00000035437	chr2	37333272	37456548
ENSMUSG00000026915	chr2	37373240	37593871
ENSMUSG00000035392	chr2	37688965	38177407
ENSMUSG00000026749	chr2	38401504	38485465
ENSMUSG00000026750	chr2	38478044	38534099
ENSMUSG00000026755	chr2	38895360	38905899
ENSMUSG00000026754	chr2	38902437	38955727
ENSMUSG00000035236	chr2	38956226	39080787
ENSMUSG00000026753	chr2	39084366	39116468
ENSMUSG00000026866	chr2	43445309	43572734
ENSMUSG00000026872	chr2	44873644	45007464
ENSMUSG00000052248	chr2	45000501	45004099
ENSMUSG00000026761	chr2	48790203	48840289
ENSMUSG00000026766	chr2	50169893	50186813
ENSMUSG00000017144	chr2	51019347	51039189
ENSMUSG00000026946	chr2	51838450	51863506
ENSMUSG00000053475	chr2	51927998	51946698
ENSMUSG00000026950	chr2	52026659	52268486
ENSMUSG00000055371	chr2	52581669	52632598
ENSMUSG00000026960	chr2	53081738	53110995
ENSMUSG00000026826	chr2	56996842	57014331
ENSMUSG00000026827	chr2	57127515	57260734
ENSMUSG00000026832	chr2	58019149	58085544
ENSMUSG00000026836	chr2	58278656	58457770
ENSMUSG00000026839	chr2	58457282	58685857
ENSMUSG00000026991	chr2	58991088	59185552
ENSMUSG00000035168	chr2	59442343	59678250
ENSMUSG00000026988	chr2	59682704	59712960
ENSMUSG00000026987	chr2	59729707	60040215
ENSMUSG00000026977	chr2	60039885	60081020
ENSMUSG00000054580	chr2	60247887	60383654
ENSMUSG00000026971	chr2	60428636	60553035
ENSMUSG00000026970	chr2	60580537	60793855
ENSMUSG00000026914	chr2	61542026	61631607
ENSMUSG00000035000	chr2	62159798	62242576
ENSMUSG00000026896	chr2	62425714	62476607
ENSMUSG00000026888	chr2	64742812	64855331
ENSMUSG00000034903	chr2	64918068	65069747
ENSMUSG00000026994	chr2	65913110	65955482
ENSMUSG00000034848	chr2	66012055	66087013
ENSMUSG00000034780	chr2	67396215	67953239
ENSMUSG00000027030	chr2	68040789	68302723
ENSMUSG00000027035	chr2	68691455	68944627
ENSMUSG00000034738	chr2	68966099	69025220
ENSMUSG00000027070	chr2	69254682	69416409
ENSMUSG00000027086	chr2	69517142	69543870
ENSMUSG00000027088	chr2	69619966	69630349
ENSMUSG00000014959	chr2	70491800	70544087
ENSMUSG00000027012	chr2	71042017	71094479
ENSMUSG00000027010	chr2	71101407	71198167
ENSMUSG00000027018	chr2	71218392	71271966
ENSMUSG00000027111	chr2	71575960	71689757
ENSMUSG00000006494	chr2	71703488	71734202
